"","code","phecode_unrolled"
"1124","568","568"
"1125","568.1","568.1"
"1126","569","569"
"1127","569.1","569.1"
"1128","569.2","569.2"
"1129","571","571"
"1130","571.5","571.5"
"1131","571.51","571.51"
"1132","571.6","571.6"
"1133","571.8","571.8"
"1134","571.81","571.81"
"1135","572","572"
"1136","573","573"
"1137","573.1","573.1"
"1138","573.2","573.2"
"1139","573.3","573.3"
"1140","573.4","573.4"
"1141","573.5","573.5"
"1142","573.6","573.6"
"1143","573.7","573.7"
"1144","573.9","573.9"
"1145","574","574"
"1146","574.1","574.1"
"1147","574.11","574.11"
"1148","574.12","574.12"
"1149","574.2","574.2"
"1150","574.3","574.3"
"1151","575","575"
"1152","575.1","575.1"
"1153","575.2","575.2"
"1154","575.6","575.6"
"1155","575.7","575.7"
"1156","575.8","575.8"
"1157","575.9","575.9"
"1158","577","577"
"1159","577.1","577.1"
"1160","577.2","577.2"
"1161","577.3","577.3"
"1162","578","578"
"1163","578.1","578.1"
"1164","578.2","578.2"
"1165","578.8","578.8"
"1166","578.9","578.9"
"1167","579","579"
"1168","579.2","579.2"
"1169","579.8","579.8"
"1170","580","580"
"1171","580.1","580.1"
"1172","580.11","580.11"
"1173","580.12","580.12"
"1174","580.13","580.13"
"1175","580.14","580.14"
"1176","580.2","580.2"
"1177","580.3","580.3"
"1178","580.31","580.31"
"1179","580.32","580.32"
"1180","580.4","580.4"
"1181","585","585"
"1182","585.1","585.1"
"1183","585.2","585.2"
"1184","585.3","585.3"
"1185","585.31","585.31"
"1186","585.32","585.32"
"1187","585.33","585.33"
"1188","585.34","585.34"
"1189","585.4","585.4"
"1190","586","586"
"1191","586.1","586.1"
"1192","586.11","586.11"
"1193","586.12","586.12"
"1194","586.2","586.2"
"1195","586.3","586.3"
"1196","586.4","586.4"
"1197","587","587"
"1198","588","588"
"1199","588.1","588.1"
"1200","588.2","588.2"
"1201","589","589"
"1202","590","590"
"1203","591","591"
"1204","592","592"
"1205","592.1","592.1"
"1206","592.11","592.11"
"1207","592.12","592.12"
"1208","592.13","592.13"
"1209","592.2","592.2"
"1210","592.21","592.21"
"1211","592.3","592.3"
"1212","593","593"
"1213","593.1","593.1"
"1214","593.2","593.2"
"1215","594","594"
"1216","594.1","594.1"
"1217","594.2","594.2"
"1218","594.3","594.3"
"1219","594.8","594.8"
"1220","595","595"
"1221","596","596"
"1222","596.1","596.1"
"1223","596.5","596.5"
"1224","597","597"
"1225","597.1","597.1"
"1226","597.2","597.2"
"1227","597.8","597.8"
"1228","598","598"
"1229","598.4","598.4"
"1230","598.9","598.9"
"1231","599","599"
"1232","599.1","599.1"
"1233","599.2","599.2"
"1234","599.3","599.3"
"1235","599.4","599.4"
"1236","599.5","599.5"
"1237","599.6","599.6"
"1238","599.7","599.7"
"1239","599.8","599.8"
"1240","599.9","599.9"
"1241","600","600"
"1242","601","601"
"1243","601.1","601.1"
"1244","601.11","601.11"
"1245","601.12","601.12"
"1246","601.3","601.3"
"1247","601.4","601.4"
"1248","601.8","601.8"
"1249","602","602"
"1250","602.3","602.3"
"1251","603","603"
"1252","603.1","603.1"
"1253","603.2","603.2"
"1254","604","604"
"1255","604.1","604.1"
"1256","604.2","604.2"
"1257","604.3","604.3"
"1258","605","605"
"1259","608","608"
"1260","609","609"
"1261","609.1","609.1"
"1262","609.11","609.11"
"1263","609.2","609.2"
"1264","610","610"
"1265","610.1","610.1"
"1266","610.2","610.2"
"1267","610.3","610.3"
"1268","610.4","610.4"
"1269","610.8","610.8"
"1270","611","611"
"1271","611.1","611.1"
"1272","611.11","611.11"
"1273","611.3","611.3"
"1274","612","612"
"1275","612.1","612.1"
"1276","612.2","612.2"
"1277","612.3","612.3"
"1278","613","613"
"1279","613.1","613.1"
"1280","613.5","613.5"
"1281","613.7","613.7"
"1282","613.8","613.8"
"1283","613.9","613.9"
"1284","614","614"
"1285","614.1","614.1"
"1286","614.3","614.3"
"1287","614.31","614.31"
"1288","614.32","614.32"
"1289","614.33","614.33"
"1290","614.4","614.4"
"1291","614.5","614.5"
"1292","614.51","614.51"
"1293","614.52","614.52"
"1294","614.53","614.53"
"1295","614.54","614.54"
"1296","615","615"
"1297","617","617"
"1298","618","618"
"1299","618.1","618.1"
"1300","618.2","618.2"
"1301","618.5","618.5"
"1302","618.6","618.6"
"1303","619","619"
"1304","619.1","619.1"
"1305","619.2","619.2"
"1306","619.3","619.3"
"1307","619.4","619.4"
"1308","619.5","619.5"
"1309","620","620"
"1310","620.1","620.1"
"1311","621","621"
"1312","622","622"
"1313","622.1","622.1"
"1314","622.2","622.2"
"1315","623","623"
"1316","624","624"
"1317","624.1","624.1"
"1318","624.2","624.2"
"1319","624.9","624.9"
"1320","625","625"
"1321","625.1","625.1"
"1322","626","626"
"1323","626.1","626.1"
"1324","626.11","626.11"
"1325","626.12","626.12"
"1326","626.13","626.13"
"1327","626.14","626.14"
"1328","626.15","626.15"
"1329","626.2","626.2"
"1330","626.21","626.21"
"1331","626.4","626.4"
"1332","626.8","626.8"
"1333","627","627"
"1334","627.1","627.1"
"1335","627.2","627.2"
"1336","627.21","627.21"
"1337","627.22","627.22"
"1338","627.3","627.3"
"1339","627.4","627.4"
"1340","627.5","627.5"
"1341","628","628"
"1342","634","634"
"1343","634.1","634.1"
"1344","634.3","634.3"
"1345","635","635"
"1346","635.2","635.2"
"1347","635.3","635.3"
"1348","636","636"
"1349","636.1","636.1"
"1350","636.2","636.2"
"1351","636.3","636.3"
"1352","636.8","636.8"
"1353","637","637"
"1354","638","638"
"1355","639","639"
"1356","642","642"
"1357","642.1","642.1"
"1358","643","643"
"1359","643.1","643.1"
"1360","644","644"
"1361","645","645"
"1362","646","646"
"1363","647","647"
"1364","647.1","647.1"
"1365","647.3","647.3"
"1366","649","649"
"1367","649.1","649.1"
"1368","650","650"
"1369","651","651"
"1370","652","652"
"1371","653","653"
"1372","654","654"
"1373","654.1","654.1"
"1374","654.2","654.2"
"1375","655","655"
"1376","655.1","655.1"
"1377","656","656"
"1378","656.1","656.1"
"1379","656.2","656.2"
"1380","656.22","656.22"
"1381","656.26","656.26"
"1382","656.3","656.3"
"1383","656.4","656.4"
"1384","656.5","656.5"
"1385","656.6","656.6"
"1386","656.7","656.7"
"1387","656.8","656.8"
"1388","656.9","656.9"
"1389","657","657"
"1390","658","658"
"1391","661","661"
"1392","663","663"
"1393","665","665"
"1394","668","668"
"1395","669","669"
"1396","671","671"
"1397","674","674"
"1398","676","676"
"1399","679","679"
"1400","681","681"
"1401","681.1","681.1"
"1402","681.2","681.2"
"1403","681.3","681.3"
"1404","681.5","681.5"
"1405","681.6","681.6"
"1406","681.7","681.7"
"1407","686","686"
"1408","686.1","686.1"
"1409","686.2","686.2"
"1410","686.3","686.3"
"1411","686.4","686.4"
"1412","686.5","686.5"
"1413","687","687"
"1414","687.1","687.1"
"1415","687.2","687.2"
"1416","687.3","687.3"
"1417","687.4","687.4"
"1418","689","689"
"1419","690","690"
"1420","690.1","690.1"
"1421","691","691"
"1422","691.1","691.1"
"1423","691.3","691.3"
"1424","694","694"
"1425","694.1","694.1"
"1426","694.2","694.2"
"1427","694.3","694.3"
"1428","695","695"
"1429","695.1","695.1"
"1430","695.2","695.2"
"1431","695.21","695.21"
"1432","695.22","695.22"
"1433","695.3","695.3"
"1434","695.4","695.4"
"1435","695.41","695.41"
"1436","695.42","695.42"
"1437","695.7","695.7"
"1438","695.8","695.8"
"1439","695.81","695.81"
"1440","695.9","695.9"
"1441","696","696"
"1442","696.2","696.2"
"1443","696.3","696.3"
"1444","696.4","696.4"
"1445","696.41","696.41"
"1446","696.42","696.42"
"1447","697","697"
"1448","698","698"
"1449","700","700"
"1450","701","701"
"1451","701.1","701.1"
"1452","701.2","701.2"
"1453","701.3","701.3"
"1454","701.4","701.4"
"1455","701.5","701.5"
"1456","701.6","701.6"
"1457","702","702"
"1458","702.1","702.1"
"1459","702.2","702.2"
"1460","702.4","702.4"
"1461","703","703"
"1462","703.1","703.1"
"1463","704","704"
"1464","704.1","704.1"
"1465","704.11","704.11"
"1466","704.12","704.12"
"1467","704.2","704.2"
"1468","704.8","704.8"
"1469","705","705"
"1470","705.1","705.1"
"1471","705.3","705.3"
"1472","705.8","705.8"
"1473","706","706"
"1474","706.1","706.1"
"1475","706.2","706.2"
"1476","706.3","706.3"
"1477","706.8","706.8"
"1478","707","707"
"1479","707.1","707.1"
"1480","707.2","707.2"
"1481","707.3","707.3"
"1482","709","709"
"1483","709.2","709.2"
"1484","709.3","709.3"
"1485","709.4","709.4"
"1486","709.5","709.5"
"1487","709.6","709.6"
"1488","709.7","709.7"
"1489","710","710"
"1490","710.1","710.1"
"1491","710.11","710.11"
"1492","710.12","710.12"
"1493","710.19","710.19"
"1494","710.2","710.2"
"1495","710.3","710.3"
"1496","711","711"
"1497","711.1","711.1"
"1498","711.2","711.2"
"1499","711.3","711.3"
"1500","712","712"
"1501","713","713"
"1502","713.5","713.5"
"1503","714","714"
"1504","714.1","714.1"
"1505","714.2","714.2"
"1506","715","715"
"1507","715.1","715.1"
"1508","715.2","715.2"
"1509","715.3","715.3"
"1510","716","716"
"1511","716.1","716.1"
"1512","716.2","716.2"
"1513","716.3","716.3"
"1514","716.8","716.8"
"1515","716.9","716.9"
"1516","717","717"
"1517","720","720"
"1518","720.1","720.1"
"1519","721","721"
"1520","721.1","721.1"
"1521","721.2","721.2"
"1522","721.8","721.8"
"1523","722","722"
"1524","722.1","722.1"
"1525","722.3","722.3"
"1526","722.6","722.6"
"1527","722.7","722.7"
"1528","722.8","722.8"
"1529","722.9","722.9"
"1530","723","723"
"1531","723.1","723.1"
"1532","724","724"
"1533","724.1","724.1"
"1534","724.2","724.2"
"1535","724.8","724.8"
"1536","724.9","724.9"
"1537","726","726"
"1538","726.1","726.1"
"1539","726.2","726.2"
"1540","726.3","726.3"
"1541","726.4","726.4"
"1542","727","727"
"1543","727.1","727.1"
"1544","727.2","727.2"
"1545","727.4","727.4"
"1546","727.5","727.5"
"1547","727.6","727.6"
"1548","727.7","727.7"
"1549","727.8","727.8"
"1550","728","728"
"1551","728.1","728.1"
"1552","728.2","728.2"
"1553","728.7","728.7"
"1554","728.71","728.71"
"1555","729","729"
"1556","729.1","729.1"
"1557","729.3","729.3"
"1558","729.7","729.7"
"1559","731","731"
"1560","731.1","731.1"
"1561","732","732"
"1562","732.1","732.1"
"1563","732.7","732.7"
"1564","733","733"
"1565","733.2","733.2"
"1566","733.4","733.4"
"1567","733.6","733.6"
"1568","733.8","733.8"
"1569","733.9","733.9"
"1570","735","735"
"1571","735.1","735.1"
"1572","735.2","735.2"
"1573","735.21","735.21"
"1574","735.22","735.22"
"1575","735.23","735.23"
"1576","735.3","735.3"
"1577","736","736"
"1578","736.1","736.1"
"1579","736.2","736.2"
"1580","736.3","736.3"
"1581","736.4","736.4"
"1582","736.5","736.5"
"1583","736.6","736.6"
"1584","737","737"
"1585","737.1","737.1"
"1586","737.2","737.2"
"1587","737.3","737.3"
"1588","738","738"
"1589","738.4","738.4"
"1590","739","739"
"1591","740","740"
"1592","740.1","740.1"
"1593","740.11","740.11"
"1594","740.12","740.12"
"1595","740.2","740.2"
"1596","740.3","740.3"
"1597","740.9","740.9"
"1598","741","741"
"1599","741.1","741.1"
"1600","741.2","741.2"
"1601","741.3","741.3"
"1602","741.4","741.4"
"1603","741.5","741.5"
"1604","741.6","741.6"
"1605","742","742"
"1606","742.1","742.1"
"1607","742.2","742.2"
"1608","742.8","742.8"
"1609","742.9","742.9"
"1610","743","743"
"1611","743.1","743.1"
"1612","743.11","743.11"
"1613","743.12","743.12"
"1614","743.13","743.13"
"1615","743.2","743.2"
"1616","743.21","743.21"
"1617","743.22","743.22"
"1618","743.4","743.4"
"1619","743.9","743.9"
"1620","745","745"
"1621","747","747"
"1622","747.1","747.1"
"1623","747.11","747.11"
"1624","747.12","747.12"
"1625","747.13","747.13"
"1626","747.2","747.2"
"1627","748","748"
"1628","749","749"
"1629","749.1","749.1"
"1630","749.2","749.2"
"1631","750","750"
"1632","750.1","750.1"
"1633","750.11","750.11"
"1634","750.13","750.13"
"1635","750.14","750.14"
"1636","750.15","750.15"
"1637","750.2","750.2"
"1638","750.21","750.21"
"1639","750.22","750.22"
"1640","750.5","750.5"
"1641","751","751"
"1642","751.1","751.1"
"1643","751.11","751.11"
"1644","751.12","751.12"
"1645","751.2","751.2"
"1646","751.21","751.21"
"1647","751.22","751.22"
"1648","751.3","751.3"
"1649","752","752"
"1650","752.1","752.1"
"1651","752.11","752.11"
"1652","752.2","752.2"
"1653","753","753"
"1654","753.1","753.1"
"1655","753.2","753.2"
"1656","754","754"
"1657","754.1","754.1"
"1658","754.2","754.2"
"1659","755","755"
"1660","755.1","755.1"
"1661","755.3","755.3"
"1662","755.4","755.4"
"1663","755.6","755.6"
"1664","755.61","755.61"
"1665","756","756"
"1666","756.1","756.1"
"1667","756.2","756.2"
"1668","756.21","756.21"
"1669","756.22","756.22"
"1670","756.3","756.3"
"1671","756.5","756.5"
"1672","757","757"
"1673","758","758"
"1674","758.1","758.1"
"1675","759","759"
"1676","759.1","759.1"
"1677","760","760"
"1678","761","761"
"1679","763","763"
"1680","764","764"
"1681","765","765"
"1682","766","766"
"1683","767","767"
"1684","769","769"
"1685","770","770"
"1686","771","771"
"1687","771.1","771.1"
"1688","771.2","771.2"
"1689","772","772"
"1690","772.1","772.1"
"1691","772.2","772.2"
"1692","772.3","772.3"
"1693","772.4","772.4"
"1694","772.6","772.6"
"1695","773","773"
"1696","780","780"
"1697","781","781"
"1698","781.1","781.1"
"1699","781.2","781.2"
"1700","782","782"
"1701","782.3","782.3"
"1702","782.6","782.6"
"1703","783","783"
"1704","783.1","783.1"
"1705","785","785"
"1706","788","788"
"1707","789","789"
"1708","789.1","789.1"
"1709","790","790"
"1710","790.1","790.1"
"1711","790.6","790.6"
"1712","790.8","790.8"
"1713","790.9","790.9"
"1714","791","791"
"1715","792","792"
"1716","792.1","792.1"
"1717","793","793"
"1718","793.2","793.2"
"1719","794","794"
"1720","795","795"
"1721","795.8","795.8"
"1722","795.81","795.81"
"1723","795.82","795.82"
"1724","796","796"
"1725","797","797"
"1726","797.1","797.1"
"1727","798","798"
"1728","798.1","798.1"
"1729","799","799"
"1730","800","800"
"1731","800.1","800.1"
"1732","800.2","800.2"
"1733","800.3","800.3"
"1734","800.4","800.4"
"1735","801","801"
"1736","801.1","801.1"
"1737","802","802"
"1738","803","803"
"1739","803.1","803.1"
"1740","803.2","803.2"
"1741","803.21","803.21"
"1742","803.3","803.3"
"1743","804","804"
"1744","805","805"
"1745","807","807"
"1746","809","809"
"1747","816","816"
"1748","817","817"
"1749","818","818"
"1750","818.1","818.1"
"1751","818.2","818.2"
"1752","819","819"
"1753","823","823"
"1754","830","830"
"1755","835","835"
"1756","836","836"
"1757","840","840"
"1758","840.1","840.1"
"1759","840.2","840.2"
"1760","840.3","840.3"
"1761","841","841"
"1762","842","842"
"1763","850","850"
"1764","851","851"
"1765","853","853"
"1766","854","854"
"1767","855","855"
"1768","856","856"
"1769","857","857"
"1770","858","858"
"1771","859","859"
"1772","860","860"
"1773","870","870"
"1774","870.1","870.1"
"1775","870.2","870.2"
"1776","870.3","870.3"
"1777","870.4","870.4"
"1778","870.5","870.5"
"1779","870.6","870.6"
"1780","870.8","870.8"
"1781","871","871"
"1782","871.1","871.1"
"1783","871.2","871.2"
"1784","871.3","871.3"
"1785","871.4","871.4"
"1786","872","872"
"1787","873","873"
"1788","874","874"
"1789","875","875"
"1790","876","876"
"1791","905","905"
"1792","906","906"
"1793","907","907"
"1794","908","908"
"1795","909","909"
"1796","910","910"
"1797","911","911"
"1798","912","912"
"1799","913","913"
"1800","915","915"
"1801","916","916"
"1802","930","930"
"1803","931","931"
"1804","938","938"
"1805","938.1","938.1"
"1806","938.2","938.2"
"1807","939","939"
"1808","939.1","939.1"
"1809","941","941"
"1810","942","942"
"1811","946","946"
"1812","947","947"
"1813","949","949"
"1814","949.1","949.1"
"1815","952","952"
"1816","957","957"
"1817","958","958"
"1818","958.1","958.1"
"1819","958.2","958.2"
"1820","960","960"
"1821","960.1","960.1"
"1822","960.2","960.2"
"1823","960.3","960.3"
"1824","961","961"
"1825","961.1","961.1"
"1826","962","962"
"1827","962.1","962.1"
"1828","962.2","962.2"
"1829","962.3","962.3"
"1830","963","963"
"1831","963.1","963.1"
"1832","964","964"
"1833","964.1","964.1"
"1834","965","965"
"1835","965.1","965.1"
"1836","965.2","965.2"
"1837","965.3","965.3"
"1838","966","966"
"1839","967","967"
"1840","969","969"
"1841","971","971"
"1842","972","972"
"1843","972.1","972.1"
"1844","972.2","972.2"
"1845","972.6","972.6"
"1846","973","973"
"1847","974","974"
"1848","975","975"
"1849","976","976"
"1850","977","977"
"1851","979","979"
"1852","980","980"
"1853","981","981"
"1854","983","983"
"1855","984","984"
"1856","985","985"
"1857","986","986"
"1858","987","987"
"1859","988","988"
"1860","989","989"
"1861","990","990"
"1862","994","994"
"1863","994.1","994.1"
"1864","994.2","994.2"
"1865","994.21","994.21"
"1866","996","996"
"1867","008.5","008"
"1868","008.51","008.5"
"1869","008.52","008.5"
"1870","008.6","008"
"1871","008.7","008"
"1872","031.1","031"
"1873","038.1","038"
"1874","038.2","038"
"1875","038.3","038"
"1876","041.1","041"
"1877","041.11","041.1"
"1878","041.12","041.1"
"1879","041.2","041"
"1880","041.21","041.2"
"1881","041.4","041"
"1882","041.8","041"
"1883","041.9","041"
"1884","053.1","053"
"1885","070.1","070"
"1886","070.2","070"
"1887","070.3","070"
"1888","071.1","071"
"1889","079.1","079"
"1890","079.2","079"
"1891","079.9","079"
"1892","081.1","081"
"1893","081.11","081.1"
"1894","081.12","081.1"
"1895","090.2","090"
"1896","090.3","090"
"1897","1000","1000"
"1898","1001","1001"
"1899","1002","1002"
"1900","1003","1003"
"1901","1004","1004"
"1902","1005","1005"
"1903","1006","1006"
"1904","1007","1007"
"1905","1008","1008"
"1906","1009","1009"
"1907","1010","1010"
"1908","1011","1011"
"1909","1012","1012"
"1910","1013","1013"
"1911","1014","1014"
"1912","1015","1015"
"1913","1019","1019"
"1914","110.1","110"
"1915","110.11","110.1"
"1916","110.12","110.1"
"1917","110.13","110.1"
"1918","110.2","110"
"1919","1100","1100"
"1920","112.3","112"
"1921","117.1","117"
"1922","117.2","117"
"1923","117.3","117"
"1924","117.4","117"
"1925","130.1","130"
"1926","132.1","132"
"1927","134.1","134"
"1928","145.1","145"
"1929","145.2","145"
"1930","145.3","145"
"1931","145.4","145"
"1932","145.5","145"
"1933","149.1","149"
"1934","149.2","149"
"1935","149.3","149"
"1936","149.4","149"
"1937","149.5","149"
"1938","149.9","149"
"1939","153.2","153"
"1940","153.3","153"
"1941","155.1","155"
"1942","159.2","159"
"1943","159.3","159"
"1944","159.4","159"
"1945","165.1","165"
"1946","170.1","170"
"1947","170.2","170"
"1948","172.1","172"
"1949","172.11","172.1"
"1950","172.2","172"
"1951","172.21","172.2"
"1952","172.22","172.2"
"1953","172.3","172"
"1954","174.1","174"
"1955","174.11","174.1"
"1956","174.2","174"
"1957","174.3","174"
"1958","180.1","180"
"1959","180.3","180"
"1960","184.1","184"
"1961","184.11","184.1"
"1962","184.2","184"
"1963","187.1","187"
"1964","187.2","187"
"1965","187.8","187"
"1966","189.1","189"
"1967","189.11","189.1"
"1968","189.12","189.1"
"1969","189.2","189"
"1970","189.21","189.2"
"1971","189.4","189"
"1972","191.1","191"
"1973","191.11","191.1"
"1974","195.1","195"
"1975","195.3","195"
"1976","198.1","198"
"1977","198.2","198"
"1978","198.3","198"
"1979","198.4","198"
"1980","198.5","198"
"1981","198.6","198"
"1982","198.7","198"
"1983","199.4","199"
"1984","200.1","200"
"1985","202.2","202"
"1986","202.21","202.2"
"1987","202.22","202.2"
"1988","202.23","202.2"
"1989","202.24","202.2"
"1990","204.1","204"
"1991","204.11","204.1"
"1992","204.12","204.1"
"1993","204.2","204"
"1994","204.21","204.2"
"1995","204.22","204.2"
"1996","204.3","204"
"1997","204.4","204"
"1998","214.1","214"
"1999","217.1","217"
"2000","218.1","218"
"2001","218.2","218"
"2002","224.1","224"
"2003","225.1","225"
"2004","225.2","225"
"2005","227.1","227"
"2006","227.2","227"
"2007","227.3","227"
"2008","228.1","228"
"2009","229.1","229"
"2010","241.1","241"
"2011","241.2","241"
"2012","242.1","242"
"2013","242.2","242"
"2014","242.31","242.3"
"2015","244.1","244"
"2016","244.2","244"
"2017","244.3","244"
"2018","244.4","244"
"2019","244.5","244"
"2020","245.1","245"
"2021","245.2","245"
"2022","245.21","245.2"
"2023","246.2","246"
"2024","250.1","250"
"2025","250.11","250.1"
"2026","250.12","250.1"
"2027","250.13","250.1"
"2028","250.14","250.1"
"2029","250.15","250.1"
"2030","250.2","250"
"2031","250.21","250.2"
"2032","250.22","250.2"
"2033","250.23","250.2"
"2034","250.24","250.2"
"2035","250.25","250.2"
"2036","250.3","250"
"2037","250.41","250.4"
"2038","250.42","250.4"
"2039","250.5","250"
"2040","250.6","250"
"2041","250.7","250"
"2042","251.8","251"
"2043","252.1","252"
"2044","252.2","252"
"2045","253.1","253"
"2046","253.11","253.1"
"2047","253.2","253"
"2048","253.3","253"
"2049","253.4","253"
"2050","253.5","253"
"2051","253.7","253"
"2052","255.1","255"
"2053","255.11","255.1"
"2054","255.12","255.1"
"2055","255.13","255.1"
"2056","255.2","255"
"2057","255.21","255.2"
"2058","255.22","255.2"
"2059","255.3","255"
"2060","256.1","256"
"2061","256.4","256"
"2062","257.1","257"
"2063","259.1","259"
"2064","260.2","260"
"2065","260.21","260.2"
"2066","260.22","260.2"
"2067","260.3","260"
"2068","261.1","261"
"2069","261.2","261"
"2070","261.3","261"
"2071","261.4","261"
"2072","261.41","261.4"
"2073","264.1","264"
"2074","264.2","264"
"2075","264.3","264"
"2076","264.9","264"
"2077","270.1","270"
"2078","270.11","270.1"
"2079","270.12","270.1"
"2080","270.2","270"
"2081","270.21","270.2"
"2082","270.3","270"
"2083","270.31","270.3"
"2084","270.32","270.3"
"2085","270.34","270.3"
"2086","270.35","270.3"
"2087","270.38","270.3"
"2088","271.3","271"
"2089","271.9","271"
"2090","272.1","272"
"2091","272.11","272.1"
"2092","272.12","272.1"
"2093","272.13","272.1"
"2094","272.14","272.1"
"2095","272.9","272"
"2096","274.1","274"
"2097","274.11","274.1"
"2098","274.2","274"
"2099","274.21","274.2"
"2100","275.1","275"
"2101","275.11","275.1"
"2102","275.2","275"
"2103","275.3","275"
"2104","275.5","275"
"2105","275.51","275.5"
"2106","275.53","275.5"
"2107","275.6","275"
"2108","276.1","276"
"2109","276.11","276.1"
"2110","276.12","276.1"
"2111","276.13","276.1"
"2112","276.14","276.1"
"2113","276.41","276.4"
"2114","276.42","276.4"
"2115","276.5","276"
"2116","276.6","276"
"2117","277.1","277"
"2118","277.2","277"
"2119","277.51","277.5"
"2120","277.8","277"
"2121","278.1","278"
"2122","278.11","278.1"
"2123","278.3","278"
"2124","278.4","278"
"2125","279.1","279"
"2126","279.11","279.1"
"2127","279.2","279"
"2128","279.8","279"
"2129","280.1","280"
"2130","280.2","280"
"2131","281.1","281"
"2132","281.11","281.1"
"2133","281.12","281.1"
"2134","281.13","281.1"
"2135","281.9","281"
"2136","282.5","282"
"2137","282.8","282"
"2138","282.9","282"
"2139","283.1","283"
"2140","283.2","283"
"2141","283.21","283.2"
"2142","284.1","284"
"2143","284.2","284"
"2144","285.1","285"
"2145","285.2","285"
"2146","285.21","285.2"
"2147","285.22","285.2"
"2148","285.3","285"
"2149","286.1","286"
"2150","286.11","286.1"
"2151","286.12","286.1"
"2152","286.13","286.1"
"2153","286.4","286"
"2154","286.5","286"
"2155","286.6","286"
"2156","286.7","286"
"2157","286.8","286"
"2158","286.81","286.8"
"2159","286.9","286"
"2160","287.2","287"
"2161","287.3","287"
"2162","287.31","287.3"
"2163","287.32","287.3"
"2164","287.4","287"
"2165","288.11","288.1"
"2166","288.2","288"
"2167","288.3","288"
"2168","289.1","289"
"2169","289.3","289"
"2170","289.9","289"
"2171","290.1","290"
"2172","290.11","290.1"
"2173","290.12","290.1"
"2174","290.13","290.1"
"2175","290.16","290.1"
"2176","290.2","290"
"2177","291.1","291"
"2178","291.4","291"
"2179","291.8","291"
"2180","292.1","292"
"2181","292.11","292.1"
"2182","292.12","292.1"
"2183","292.2","292"
"2184","292.3","292"
"2185","292.4","292"
"2186","292.5","292"
"2187","292.6","292"
"2188","295.1","295"
"2189","295.2","295"
"2190","295.3","295"
"2191","296.1","296"
"2192","296.2","296"
"2193","296.22","296.2"
"2194","297.1","297"
"2195","297.2","297"
"2196","300.1","300"
"2197","300.11","300.1"
"2198","300.12","300.1"
"2199","300.13","300.1"
"2200","300.2","300"
"2201","300.3","300"
"2202","300.4","300"
"2203","300.8","300"
"2204","300.9","300"
"2205","301.1","301"
"2206","301.2","301"
"2207","302.1","302"
"2208","303.3","303"
"2209","303.31","303.3"
"2210","303.4","303"
"2211","305.21","305.2"
"2212","306.9","306"
"2213","312.3","312"
"2214","313.1","313"
"2215","313.2","313"
"2216","313.3","313"
"2217","315.2","315"
